x,y,radiation
-8.0195,12.0259,4.98
-8.0195,12.527,4.97
-8.0195,13.0281,4.97
-8.0195,13.5292,4.95
-8.0195,14.0302,4.95
-8.0195,14.5313,4.94
-8.0195,15.0324,4.98
-8.0195,15.5335,4.97
-8.0195,16.0346,4.93
-8.0195,16.5356,4.94
-8.0195,17.0367,4.95
-8.0195,17.5378,4.95
-8.0195,18.0389,4.94
-8.0195,18.5399,4.89
-8.0195,19.041,4.87
-8.0195,19.5421,4.84
-8.0195,20.0432,4.85
-8.0195,20.5443,4.87
-8.0195,21.0453,4.81
-8.0195,21.5464,4.81
-8.0195,22.0475,4.79
-8.0195,22.5486,4.69
-8.0195,23.0497,4.60
-8.0195,23.5507,4.52
-8.0195,24.0518,4.50
-8.0195,24.5529,4.38
-8.0195,25.054,4.20
-8.0195,25.5551,4.07
